model,epoch,loss,ndcg@10,precision@10,coverage,sec
NCF,1,0.23811127289006626,0.02734917592659299,0.007107843179255724,0.003043885469628044,168.0
NCF,2,0.19921906927707358,0.026605112710565575,0.007107843179255724,0.003043885469628044,157.9
NCF,3,0.1948154680137559,0.02694692146372437,0.007352941203862429,0.0030104361787530102,205.5
TwoTower,1,0.22412848462538187,0.026575649010882434,0.007107843179255724,0.0030104361787530102,177.8
TwoTower,2,0.19645153904591423,0.02862169511013223,0.00882352888584137,0.0030104361787530102,191.4
TwoTower,3,0.1929315487666661,0.026225952274791967,0.0066176471300423145,0.002976986887877977,253.7
SASRec,1,9.063081216812133,0.012163096956611117,0.0031862743198871613,0.030873695477655873,173.0
SASRec,2,7.666954052448273,0.015443589947948935,0.004411764908581972,0.03130853625903131,433.1
SASRec,3,7.049419844150544,0.018506244102760288,0.005637254565954208,0.034084827401659086,85.1
