model,threshold,accuracy,precision,recall,f1,AUC
Baseline CNN,0.5,0.6266025641025641,0.6260032102728732,1.0,0.769990128331688,0.5850810870041638
DenseNet121,0.5,0.7580128205128205,0.7276190476190476,0.9794871794871794,0.8349726775956283,0.9091496822266052
DenseNet121 (tuned),0.72,0.7884615384615384,0.7665289256198347,0.9512820512820512,0.8489702517162471,0.9091496822266052
