accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate,stage
0.8610993027687073,0.9420741200447083,0.30848953127861023,0.9501429200172424,0.8580441474914551,0.9237918257713318,0.97337806224823,0.18751400709152222,0.936117947101593,0.9621211886405945,0.0010000000474974513,stage1_features
0.9045590162277222,0.9668140411376953,0.23294003307819366,0.9665336012840271,0.9027817845344543,0.886617124080658,0.973440408706665,0.24036912620067596,0.8798186182975769,0.9797979593276978,0.0010000000474974513,stage1_features
0.9111632108688354,0.9703944325447083,0.21974854171276093,0.9702818393707275,0.9082305431365967,0.8940520286560059,0.9780107736587524,0.20896564424037933,0.8878718614578247,0.9797979593276978,0.0010000000474974513,stage1_features
0.9154239296913147,0.9733384847640991,0.20669949054718018,0.9701765179634094,0.9142529368400574,0.8921933174133301,0.9779040217399597,0.2196240872144699,0.8858447670936584,0.9797979593276978,0.0010000000474974513,stage1_features
0.9100980162620544,0.9693406224250793,0.22272349894046783,0.9687978029251099,0.9082305431365967,0.9144981503486633,0.9764102101325989,0.21175558865070343,0.9127358198165894,0.9772727489471436,0.0010000000474974513,stage1_features
0.9203237891197205,0.9774521589279175,0.19204185903072357,0.9729565382003784,0.9182678461074829,0.8847583532333374,0.9783753156661987,0.22282347083091736,0.877828061580658,0.9797979593276978,0.0003000000142492354,stage1_features
0.9269279837608337,0.9804107546806335,0.17773199081420898,0.9778115749359131,0.9225695729255676,0.8940520286560059,0.97951340675354,0.21136771142482758,0.8878718614578247,0.9797979593276978,0.0003000000142492354,stage1_features
0.9247975945472717,0.9783549308776855,0.1860867440700531,0.9748485088348389,0.9225695729255676,0.9293680191040039,0.9785175919532776,0.18141168355941772,0.9302884340286255,0.9772727489471436,0.0003000000142492354,stage1_features
0.9294844269752502,0.9813605546951294,0.17370928823947906,0.9761617183685303,0.9277315735816956,0.9237918257713318,0.9789444208145142,0.18443933129310608,0.9216151833534241,0.9797979593276978,0.0003000000142492354,stage1_features
0.928206205368042,0.9807531833648682,0.17638692259788513,0.974397599697113,0.9277315735816956,0.9368029832839966,0.9794512391090393,0.17059826850891113,0.9436274766921997,0.9722222089767456,9.000000136438757e-05,stage1_features
0.9275671243667603,0.9738099575042725,0.221259206533432,0.959953248500824,0.9417837858200073,0.9144981503486633,0.9769437313079834,0.19388140738010406,0.9146919250488281,0.9747474789619446,9.999999747378752e-06,stage2_finetune
0.9237323999404907,0.9750370979309082,0.20222380757331848,0.9719457030296326,0.9240034222602844,0.9200743436813354,0.9764190912246704,0.18474344909191132,0.9273607730865479,0.9671717286109924,9.999999747378752e-06,stage2_finetune
0.9226672053337097,0.9749760031700134,0.20642702281475067,0.9724742770195007,0.921995997428894,0.9237918257713318,0.9769260287284851,0.17621244490146637,0.9339853525161743,0.9646464586257935,9.999999747378752e-06,stage2_finetune
0.9203237891197205,0.9762455821037292,0.19889330863952637,0.9749771356582642,0.9162604212760925,0.9256505370140076,0.9768192768096924,0.17499591410160065,0.936274528503418,0.9646464586257935,2.9999998787388904e-06,stage2_finetune
0.9243715405464172,0.9763243794441223,0.1956142634153366,0.9786063432693481,0.9182678461074829,0.9256505370140076,0.9770059585571289,0.17454788088798523,0.936274528503418,0.9646464586257935,2.9999998787388904e-06,stage2_finetune
0.9245845675468445,0.9788059592247009,0.18434204161167145,0.9762845635414124,0.9208488464355469,0.9275093078613281,0.9771304726600647,0.17347870767116547,0.9385749101638794,0.9646464586257935,8.999999749903509e-07,stage2_finetune
0.9224541783332825,0.9782671928405762,0.18508568406105042,0.9759219884872437,0.9182678461074829,0.9275093078613281,0.9771838784217834,0.17304743826389313,0.9385749101638794,0.9646464586257935,8.999999749903509e-07,stage2_finetune
0.9309757351875305,0.9814523458480835,0.1705428957939148,0.9817240238189697,0.9242902398109436,0.9256505370140076,0.9772282838821411,0.1737944632768631,0.936274528503418,0.9646464586257935,8.999999749903509e-07,stage2_finetune
0.9233063459396362,0.9799826741218567,0.1812666654586792,0.9762412309646606,0.9191281795501709,0.9256505370140076,0.9771038889884949,0.17362627387046814,0.936274528503418,0.9646464586257935,2.699999868127634e-07,stage2_finetune
0.9343843460083008,0.9801440834999084,0.17909157276153564,0.9789093136787415,0.9317464828491211,0.9256505370140076,0.9773260354995728,0.17315702140331268,0.936274528503418,0.9646464586257935,2.699999868127634e-07,stage2_finetune
0.9256497621536255,0.9801257848739624,0.17972977459430695,0.9771897792816162,0.9214224219322205,0.9256505370140076,0.9772282242774963,0.17374207079410553,0.936274528503418,0.9646464586257935,2.699999868127634e-07,stage2_finetune
0.9288453459739685,0.9799758791923523,0.17965540289878845,0.978742778301239,0.9242902398109436,0.9293680191040039,0.9773793816566467,0.17204728722572327,0.9408866763114929,0.9646464586257935,2.699999868127634e-07,stage2_finetune
0.926288902759552,0.9797604084014893,0.1832609623670578,0.9751890897750854,0.9242902398109436,0.9256505370140076,0.9774327874183655,0.17321862280368805,0.936274528503418,0.9646464586257935,1.0000000116860974e-07,stage2_finetune
0.9305496215820312,0.981097936630249,0.17459321022033691,0.977060079574585,0.9283051490783691,0.9256505370140076,0.9773972034454346,0.17323175072669983,0.936274528503418,0.9646464586257935,1.0000000116860974e-07,stage2_finetune
0.9288453459739685,0.9801336526870728,0.17927812039852142,0.9778720736503601,0.9251505732536316,0.9275093078613281,0.9774772524833679,0.17238321900367737,0.9385749101638794,0.9646464586257935,1.0000000116860974e-07,stage2_finetune
