precision@k,recall@k,ndcg@k,map@k,mrr,coverage,n_eval_users,novelty,diversity,serendipity,variant,group,x
0.012926828116178513,0.07743902504444122,0.04447991810724864,0.028584010840108403,0.041609562524196675,0.017739862101203693,820,9.678273704575329,0.2609613598119922,0.0,ALS factors=16,ALS_factors,16.0
0.01329268328845501,0.07926829159259796,0.04672728480887861,0.030764614789005034,0.0450154858691444,0.022133925441159285,820,9.877583956136936,0.27283706904911414,0.0,ALS factors=32,ALS_factors,32.0
0.01475609838962555,0.09207317233085632,0.049853124585107864,0.03077453542392567,0.044789488966318236,0.0247282926259203,820,10.083281700785568,0.28758049258371676,0.0,ALS factors=64,ALS_factors,64.0
0.01548780594021082,0.09695121645927429,0.05411133740057086,0.034340640727835846,0.04888259775454897,0.027346032488021504,820,10.296352690022166,0.3029300201229933,0.0,ALS factors=128,ALS_factors,128.0
0.008658536709845066,0.05000000074505806,0.02885993476027535,0.017316831204026325,0.02924264421215641,0.004697908145378053,820,8.718121906606163,0.2258255603836804,0.0,BPR lr=0.001,BPR_lr,0.001
0.011585365980863571,0.07012195140123367,0.03966524106625642,0.024703590785907857,0.0378072977158343,0.026808460909197147,820,9.912298606081707,0.2641803476868606,0.0,BPR lr=0.005,BPR_lr,0.005
0.011951219290494919,0.07012195140123367,0.038762365584488714,0.022659456058846308,0.038072493224932245,0.0422344279537221,820,10.976514726731835,0.27860471475415116,0.00012195121951219514,BPR lr=0.01,BPR_lr,0.01
0.011951221153140068,0.07439024746417999,0.041532460813610936,0.0259037456445993,0.03940137437088657,0.06509290639242725,820,12.15755095714476,0.30015613167751126,0.00012195121951219514,BPR lr=0.05,BPR_lr,0.05
0.01548780594021082,0.09695121645927429,0.05014032705531519,0.02946162408052652,0.04387098335269068,0.02437770246581746,820,10.070234325455456,0.2884429276716418,0.0,hybrid alpha=1.0,hybrid_alpha,1.0
0.01548780594021082,0.09695121645927429,0.05014032705531519,0.02946162408052652,0.04387098335269068,0.02440107514315765,820,10.069991278066867,0.28836495643708765,0.0,hybrid alpha=0.9,hybrid_alpha,0.9
0.015487805008888245,0.09695121645927429,0.05004242557866662,0.029359998064266358,0.04366773132017034,0.024447820497838026,820,10.070558368868944,0.2877988211265424,0.0,hybrid alpha=0.7,hybrid_alpha,0.7
0.01548780594021082,0.09756097197532654,0.050021889741602606,0.02925401664730933,0.04331204026325977,0.024471193175178218,820,10.070660327120525,0.2869033553978292,0.0,hybrid alpha=0.5,hybrid_alpha,0.5
0.015487805008888245,0.09756097197532654,0.05004742196942934,0.029271922183507548,0.043288327526132396,0.024541311207198786,820,10.07177117394238,0.28550206095707126,0.0,hybrid alpha=0.3,hybrid_alpha,0.3
0.0010975609766319394,0.006097560748457909,0.003353000141033775,0.001908633372048006,0.003316395663956639,0.012060301507537688,820,15.221537463257953,0.07341915041935153,0.0,hybrid alpha=0.0,hybrid_alpha,0.0
