precision@k,recall@k,ndcg@k,map@k,mrr,coverage,n_eval_users,novelty,diversity,serendipity,segment,model,n_users_in_segment
0.01733333244919777,0.10787878930568695,0.051762755223932685,0.029095478595478598,0.03966570466570466,0.02327918663082856,825,10.216306219389944,0.28844884431723394,0.0,Q1 (<= 14),"ALS(f=64,it=15)",7629
0.01824561506509781,0.10935672372579575,0.060509177795022406,0.036413487422259354,0.05768170426065163,0.017622998714502746,855,9.767134142200849,0.2801015770226194,0.0,Q2 (15-40),"ALS(f=64,it=15)",7539
0.015501165762543678,0.0979020968079567,0.05042563064802456,0.02944254819254819,0.045042457542457545,0.017669744069183126,858,9.821597367177754,0.27861219783485075,0.0,Q3 (41-113),"ALS(f=64,it=15)",7341
0.010204081423580647,0.057022809982299805,0.03485532657727303,0.022016663808380493,0.037120562510718574,0.029052237933855325,833,10.326584109595986,0.301096898811061,0.0,Q4 (> 113),"ALS(f=64,it=15)",7491
0.0015757576329633594,0.00909090880304575,0.006296251691144491,0.0046291486291486295,0.0067186147186147184,0.015262358303143625,825,15.21282541217226,0.08065816676977909,0.0,Q1 (<= 14),ContentBased(genome),7629
0.0003508772060740739,0.001754386001266539,0.0006939654876684683,0.0002320616355704075,0.000464123271140815,0.009559425032137431,855,15.143600186130456,0.07260513995823108,0.00011695906432748539,Q2 (15-40),ContentBased(genome),7539
0.0008158508571796119,0.004662004765123129,0.002453730556664339,0.0013273763273763273,0.002509065009065009,0.008063573682365315,858,15.137390743602406,0.07002976765999427,0.0,Q3 (41-113),ContentBased(genome),7341
0.0010804320918396115,0.006602641195058823,0.003806376246952359,0.002488376302902113,0.0036262123897177916,0.006661213041953956,833,15.314574700729901,0.06976679665129297,0.0004801920768307323,Q4 (> 113),ContentBased(genome),7491
0.01733333244919777,0.10787878930568695,0.051754650088246056,0.02908177008177008,0.03966714766714766,0.023255813953488372,825,10.215865634571422,0.28822094960646194,0.0,Q1 (<= 14),Hybrid(ALS*0.70+Content*0.30),7629
0.01847953163087368,0.1111111119389534,0.06118012753401352,0.03677086234103778,0.0580065905504502,0.017646371391842934,855,9.76655671638355,0.2797410394016065,0.0,Q2 (15-40),Hybrid(ALS*0.70+Content*0.30),7539
0.015501165762543678,0.09848485141992569,0.0504867779031712,0.029427748177748177,0.04495643245643245,0.017693116746523314,858,9.822427670716683,0.27821111658236364,0.0,Q3 (41-113),Hybrid(ALS*0.70+Content*0.30),7341
0.010084033012390137,0.05642256885766983,0.03469769644518602,0.02200237237752244,0.03709197964900245,0.029075610611195513,833,10.326041320077225,0.29992705018294247,0.0,Q4 (> 113),Hybrid(ALS*0.70+Content*0.30),7491
